"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)",2.72846531850353,0.560416902706493,4.80896250235674,98,0.0102040816326531
"observed_otus_bac",0.00318862998653101,-0.00156462209997699,0.00754588225390762,98,0.163265306122449
